bigram,log_odds_ratio
vegetable oil,-0.3011
soap opera,-0.3011
put stars,-0.3011
cats fish,-0.3011
new form,-0.3011
case number,-0.3011
headphone stand,-0.3011
talk like,-0.3011
results using,-0.3011
fish oil,-0.3011
etc collecting,-0.3011
really thin,-0.3011
approved device,-0.3011
captain marvel,-0.3011
play instead,-0.3011
kindle seen,-0.3011
horse said,-0.3011
purchased dash,-0.3011
service nice,-0.3011
get sorry,-0.3011
one cam,-0.3011
left area,-0.3011
bed sleeping,-0.3011
toddler home,-0.3011
nothing would,-0.3011
done nothing,-0.3011
given good,-0.3011
tried like,-0.3011
instead reading,-0.3011
flavor pineapple,-0.3011
outside return,-0.3011
public library,-0.3011
sent link,-0.3011
total failure,-0.3011
knows else,-0.3011
know turns,-0.3011
like parent,-0.3011
one taking,-0.3011
took awhile,-0.3011
quite right,-0.3011
early stages,-0.3011
reach see,-0.3011
product similar,-0.3011
delivered yesterday,-0.3011
bought something,-0.3011
back packaging,-0.3011
times watching,-0.3011
said excellent,-0.3011
worth trying,-0.3011
reviews seems,-0.3011
install without,-0.3011
anyone reads,-0.3011
inside white,-0.3011
diaper wipes,-0.3011
back package,-0.3011
supposed able,-0.3011
window frame,-0.3011
one options,-0.3011
item amazon,-0.3011
new user,-0.3011
way author,-0.3011
chance use,-0.3011
bluetooth range,-0.3011
home cannot,-0.3011
cut scissors,-0.3011
keep mom,-0.3011
order update,-0.3011
solution next,-0.3011
back right,-0.3011
device since,-0.3011
chewer dog,-0.3011
overall performance,-0.3011
expensive diapers,-0.3011
end well,-0.3011
downloaded without,-0.3011
pre ordering,-0.3011
wanted read,-0.3011
first wash,-0.3011
small bag,-0.3011
hour gave,-0.3011
get clear,-0.3011
base unit,-0.3011
incredibly dry,-0.3011
network like,-0.3011
others pointed,-0.3011
first episode,-0.3011
purchased need,-0.3011
comfortable hot,-0.3011
much harder,-0.3011
company told,-0.3011
movie full,-0.3011
first open,-0.3011
sleeping memory,-0.3011
option available,-0.3011
really tried,-0.3011
wine drink,-0.3011
got boyfriend,-0.3011
